,Home,Away,W_PCT,REB,TOV,PLUS_MINUS,OFF_RATING,DEF_RATING,TS_PCT,Result,Date
839,Boston Celtics,Golden State Warriors,-1.7119522504936069,-0.16895349713781882,-1.2485581573283273,-1.4198522095697674,-0.5478159456170743,2.137174339939045,-1.2238198373688334,1,04/17/2021
840,Milwaukee Bucks,Memphis Grizzlies,-0.481936137743999,-0.7321318209305581,0.6242790786641637,0.04056720598770758,-0.1043458944032496,-0.2992044075914615,1.117400721075891,0,04/17/2021
841,Washington Wizards,Detroit Pistons,1.9277445509759947,1.0137209828269216,-1.516106333898684,1.5212702245390366,1.982571993661783,0.042743486798784536,2.288011000298259,1,04/17/2021
842,New York Knicks,New Orleans Pelicans,1.0070307355844748,0.056317832379274124,-0.8918272552345203,0.8924785317295681,0.28695120960894105,-1.025843683170744,0.4788860233182415,1,04/18/2021
843,LA Clippers,Minnesota Timberwolves,0.007193076682746269,-0.4505426590341905,-0.3567309020938083,-0.38538845688322265,-0.96519952323008,-0.7693827623780549,0.053209558146471325,1,04/18/2021
844,Orlando Magic,Houston Rockets,-0.6545699781299088,1.1263566475854703,-1.6052890594221372,-0.10141801496926917,-0.8347671552260152,-1.111330656768301,-1.6494963025406097,0,04/18/2021
845,Miami Heat,Brooklyn Nets,-0.10789615024119381,0.3942248266549162,0.6242790786641651,0.38538845688322276,0.1826053152056914,-0.4701783547865874,0.0,1,04/18/2021
846,Atlanta Hawks,Indiana Pacers,0.4028122942337903,0.16895349713781893,-1.6944717849455888,-0.14198522095697677,0.8347671552260152,1.4532785511585469,0.6917242559041207,1,04/18/2021
847,Dallas Mavericks,Sacramento Kings,1.1365061158739074,0.6758139885512837,-1.1593754318048755,1.3590014005882058,0.10434589440325337,-2.7355831551219802,0.0,0,04/18/2021
848,Charlotte Hornets,Portland Trail Blazers,0.9350999687570123,-0.6758139885512837,-0.8918272552345202,0.7302097077787375,0.5217294720162591,-0.8976132227744027,0.21283823258587914,1,04/18/2021
849,Toronto Raptors,Oklahoma City Thunder,1.3810707230872796,0.056317832379274346,-0.3567309020938084,1.6429718425021593,2.217350256069101,0.21371743399390442,0.957772046636483,1,04/18/2021
850,Philadelphia 76ers,Golden State Warriors,-1.0286099656327135,-1.7458528037574796,-2.4079335891332043,-1.338717797594352,-0.026086473600815174,2.6073526947256385,-0.5853051396111841,0,04/19/2021
